formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
5	C48H72O13	[M + H]+	C48H73O13+	Terpenoids	0.514	Macrolides	0.277	Cardenolides	0.151	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.564	Glycosyl compounds	0.524	O-glycosyl compounds	0.543	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	857.504	233	3.876	703056862263509858	703045682392002583	1271	
2	C46H80O13	[M + K]+	C46H80KO13+	Polyketides	0.991	Polyethers	0.860	Polyether ionophores	0.650	Phenylpropanoids and polyketides	0.453	Macrolides and analogues	0.526					Macrolides and analogues	0.526	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	879.523	233	3.883	703056839958200717	703045682748518458	1296	
2	C20H22N2O3	[M + Na]+	C20H22N2NaO3+	Alkaloids	0.737	Anthranilic acid alkaloids	0.397	Acridone alkaloids	0.056	Benzenoids	0.968							Benzenoids	0.968	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	361.155	234	3.892	703056833675132920	703045682593329195	1286	
1	C28H46N6O7	[M + H]+	C28H47N6O7+	Amino acids and Peptides	0.552	Oligopeptides	0.628	Cyclic peptides	0.298	Organic acids and derivatives	0.887	Carboxylic acids and derivatives	0.753	Carboxylic acid derivatives	0.702	Carboxylic acid amides	0.709	Carboxylic acid amides	0.709	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.354	234	3.895	703056932497131446	703045682807238719	1298	
5	C28H51N5O6	[M + K]+	C28H51KN5O6+	Amino acids and Peptides	0.698	Oligopeptides	0.658	Cyclic peptides	0.156	Organic acids and derivatives	0.669	Carboxylic acids and derivatives	0.532	Carboxylic acid derivatives	0.518	Carboxylic acid amides	0.556	Carboxylic acid amides	0.556	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	592.347	234	3.896	703057094443409956	703045682966622286	1314	
4	C41H73N9O10	[M + K]+	C41H73KN9O10+	Amino acids and Peptides	0.733	Oligopeptides	0.995	Lipopeptides	0.473	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.983	Peptides	0.538	Peptides	0.538	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	890.516	234	3.896	703056835763896470	703045683012759635	1316	
1	C13H24O3	[M + Na]+	C13H24NaO3+	Fatty acids	0.983	Fatty Acids and Conjugates	0.704	Hydroxy fatty acids	0.658	Lipids and lipid-like molecules	0.924	Fatty Acyls	0.920	Fatty acids and conjugates	0.800	Hydroxy fatty acids	0.576	Hydroxy fatty acids	0.576	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	251.162	234	3.896	703056941204507006	703045682635272240	1291	
2	C27H48N6O9	[M + H]+	C27H49N6O9+	Amino acids and Peptides	0.966	Oligopeptides	0.995	Cyclic peptides	0.983	Phenylpropanoids and polyketides	0.797	Macrolactams	0.819					Macrolactams	0.819	Organic compounds; Organoheterocyclic compounds; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Acetohydroxamic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	601.354	234	3.907	703056989761965488	703045683302166631	1328	
2	C19H30Br2N4O5S	[M + Na]+	C19H30Br2N4NaO5S+	Alkaloids	0.344	Histidine alkaloids	0.264	Imidazole alkaloids	0.263	Organic oxygen compounds	1.000	Organooxygen compounds	0.943	Ethers	0.465	Dialkyl ethers	0.510	Dialkyl ethers	0.510	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Organobromides; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	607.017	234	3.907	703056985311808582	703045683369275500	1330	
3	C35H23N7O15S4	[M + H]+	C35H24N7O15S4+	Amino acids and Peptides	0.887	β-lactams	0.726	Cephalosporins	0.501	Organic acids and derivatives	0.979	Carboxylic acids and derivatives	0.845	Amino acids, peptides, and analogues	0.711	Amino acids and derivatives	0.710	N-acyl-alpha amino acids and derivatives	0.634	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazines; Lactams; Beta lactams; Cephems; Cephalosporins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; 1,3-thiazines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	910.026	234	3.907	703056953636424250	703045683457355894	1333	
1	C43H77NO19	[M + H]+	C43H78NO19+	Polyketides	0.833	Macrolides	0.889	Erythromycins	0.267	Organic oxygen compounds	0.999	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.905	Aminosaccharides	0.736	Aminoglycosides	0.620	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Aminosaccharides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	912.521	234	3.907	703056962834533164	703045683549630592	1340	
3	C32H46N4O5S	[M + H]+	C32H47N4O5S+	Alkaloids	0.596	Linear polyketides	0.330	Open-chain polyketides	0.217	Benzenoids	0.534							Benzenoids	0.534	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Ureas; Carboxylic acid derivatives; Carbonyl compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	599.331	234	3.907	703056968232602535	703045682912096329	1311	
4	C26H51N3O13	[M + H]+	C26H52N3O13+	Carbohydrates	0.581	Aminosugars and aminoglycosides	0.361	Aminoglycosides	0.171	Organic acids and derivatives	0.974	Carboxylic acids and derivatives	0.935	Amino acids, peptides, and analogues	0.659	Amino acids and derivatives	0.653	Amino acids and derivatives	0.653	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	614.345	235	3.916	703056939472259243	703045683503493243	1337	
2	C32H53N3O6	[M + H]+	C32H54N3O6+	Amino acids and Peptides	0.320	Oligopeptides	0.858	Depsipeptides	0.147	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.894	Amino acids and derivatives	0.886	Alpha amino acids and derivatives	0.794	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	576.395	236	3.931	703057007831027546	703045683591573637	1341	
1	C29H48N4O8	[M + H]+	C29H49N4O8+	Polyketides	0.582	Oligopeptides	0.935	Depsipeptides	0.544	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.986	Amino acids, peptides, and analogues	0.824	Amino acids and derivatives	0.812	Valine and derivatives	0.561	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	581.351	236	3.931	703057006480461609	703045683633516682	1342	
3	C51H77NO13	[M + Na]+	C51H77NNaO13+	Polyketides	0.997	Macrolides	0.999	Erythromycins	0.573	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.726	Aminosaccharides	0.743	Aminoglycosides	0.671	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Aminosaccharides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	934.533	236	3.940	703057074600155179	703045683788705945	1350	
2	C45H75N9O12	[M + Na]+	C45H75N9NaO12+	Amino acids and Peptides	0.827	Oligopeptides	0.997	Lipopeptides	0.578	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.984	Peptides	0.513	Peptides	0.513	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	956.547	237	3.947	703057063917262375	703045684052947122	1357	
2	C16H33NO5	[M + Na]+	C16H33NNaO5+	Fatty acids	0.918	Fatty amides	0.196	Sphingoid bases	0.141	Lipids and lipid-like molecules	0.878	Fatty Acyls	0.892	Fatty acids and conjugates	0.571			Fatty acids and conjugates	0.571	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	342.224	238	3.965	703057078064651307	703045684124250300	1360	
3	C50H75N9O11	[M + H]+	C50H76N9O11+	Amino acids and Peptides	0.925	Oligopeptides	0.992	Cyclic peptides	0.547	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.988	Peptides	0.742	Peptides	0.742	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	978.558	238	3.970	703057095085138519	703045684325576917	1369	
4	C50H73N13O9	[M + H]+	C50H74N13O9+	Amino acids and Peptides	0.944	Oligopeptides	0.999	Linear peptides	0.398	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.995	Peptides	0.683	Peptides	0.683	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; N-acylpyrrolidines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Phenylalanine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1000.571	239	3.977	703057097505252040	703045684367519962	1370	
1	C28H55N9O5	[M + Na]+	C28H55N9NaO5+	Amino acids and Peptides	0.957	Oligopeptides	0.902	Tripeptides	0.671	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.965	Amino acids, peptides, and analogues	0.977	Peptides	0.761	Peptides	0.761	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	620.422	239	3.978	703057095777198728	703045684245885131	1367	
1	C29H54N4O9	[M + Na]+	C29H54N4NaO9+	Amino acids and Peptides	0.892	Oligopeptides	0.944	Cyclic peptides	0.624	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.868	Amino acids and derivatives	0.845	Alpha amino acids and derivatives	0.765	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	625.377	239	3.978	703057097576555246	703045684283633872	1368	
4	C16H11NO3	[M + H]+	C16H12NO3+	Alkaloids	0.715	Anthranilic acid alkaloids	0.251	Simple coumarins	0.068	Benzenoids	0.991							Benzenoids	0.991	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.082	240	3.995	703057087942238487	703045684409463007	1373	
1	C26H28Cl2N4O4	[M + H]+	C26H29Cl2N4O4+	Amino acids and Peptides	0.007	Tryptophan alkaloids	0.001	Isoquinoline alkaloids	0.002	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.896	Amino acids and derivatives	0.896	Amino acids and derivatives	0.896	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Imidazoles; Dioxolanes; Alkyl aryl ethers; Piperazines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; 1,3-dioxolanes; Organochlorides; Acetals; Tertiary carboxylic acid amides; Carbonyl compounds; Phenylpiperazines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Phenol ethers; Diazinanes; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Dichlorobenzenes; Aryl halides; N-arylpiperazines; Dialkylarylamines; Acetamides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Ketals; Organopnictogen compounds; Organic oxygen compounds; Aminophenyl ethers; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	531.156	240	3.995	703057099803730729	703045684455600356	1374	
7	C12H14N2O3S	[M + H]+	C12H15N2O3S+	Fatty acids	0.153	Phenylpropanoids (C6-C3)	0.177	Menthane monoterpenoids	0.235	Organic acids and derivatives	0.562	Carboxylic acids and derivatives	0.543					Carboxylic acids and derivatives	0.543	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	267.081	240	3.998	703057082015686423	703045684493349097	1375	
1	C17H34N2O3	[M + H]+	C17H35N2O3+	Fatty acids	0.914	Fatty amides	0.664	N-acyl amines	0.464	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.986	Amino acids and derivatives	0.985	Alpha amino acids	0.525	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Quaternary ammonium salts; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	315.264	240	4.002	703057119449851961	703045684585623795	1378	
2	C29H54O12	[M + H]+	C29H55O12+	Polyketides	0.372	Diterpenoids	0.090	Fatty alcohols	0.025	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.983	Dialkyl ethers	0.979	Polyethylene glycols	0.899	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	595.364	241	4.017	703057176911820354	703045684543680750	1376	
1	C9H15NO3	[M + H]+	C9H16NO3+	Amino acids and Peptides	0.797	Small peptides	0.479	Aminoacids	0.186	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.739	Amino acids and derivatives	0.736	Amino acids and derivatives	0.736	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	186.113	242	4.034	703057111119963223	703045684656926973	1380	
1	C19H26N6O2	[M + H]+	C19H27N6O2+	Alkaloids	0.468	Ornithine alkaloids	0.066	Pyridine alkaloids	0.008	Benzenoids	0.973	Benzene and substituted derivatives	0.938	N-phenylureas	0.696			N-phenylureas	0.696	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Carbonyl compounds; N-phenylureas; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	371.219	242	4.034	703057120494233911	703045684698870018	1381	
4	C19H33N5O2	[M + Na]+	C19H33N5NaO2+	Alkaloids	0.744	Small peptides	0.204	Dipeptides	0.111	Organoheterocyclic compounds	0.901	Heteroaromatic compounds	0.761					Heteroaromatic compounds	0.761	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	386.251	242	4.036	703057124243942150	703045684619178232	1379	
1	C20H23N	[M + H]+	C20H24N+	Alkaloids	0.912	Tyrosine alkaloids	0.063	Polyamines	0.042	Benzenoids	0.988	Dibenzocycloheptenes	0.885					Dibenzocycloheptenes	0.885	Organic compounds; Dibenzocycloheptenes; Organonitrogen compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	278.191	243	4.047	703057118304806743	703045684841476369	1384	
2	C32H52N6O6	[M + Na]+	C32H52N6NaO6+	Amino acids and Peptides	0.951	Oligopeptides	0.997	Cyclic peptides	0.337	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.992	Peptides	0.689	Peptides	0.689	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	639.390	243	4.048	703057158192639926	703045684883419414	1385	
