Feature,mz,RT,Corr_ID,Compound_Name,Adduct,formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,overallFeatureQuality,featureId
270,333.1702794094533,2.8385506,NA,NA,NA,4,C15H26N4O2,[M + K]+,C15H26KN4O2+,Alkaloids,0.517,Small peptides,0.328,Aminoacids,0.051,Organic acids and derivatives,0.928,Carboxylic acids and derivatives,0.88,"Amino acids, peptides, and analogues",0.714,Amino acids and derivatives,0.714,Amino acids and derivatives,0.714,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",333.17,170,2.827,703050788185487900,703045657670772200,NA,270
2025,333.1930094424905,5.9842515,NA,NA,NA,3,C17H30N2O2,[M + K]+,C17H30KN2O2+,Alkaloids,0.53,Linear polyketides,0.22,Open-chain polyketides,0.177,Organic acids and derivatives,0.561,Carboxylic acids and derivatives,0.558,NA,NA,NA,NA,Carboxylic acids and derivatives,0.558,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,333.193,359,5.98,703061167804838300,703045704936389400,NA,2025
318,333.20116467515163,2.9103246,NA,NA,NA,2,C13H30N2O6,[M + Na]+,C13H30N2NaO6+,Fatty acids,0.588,Ornithine alkaloids,0.107,Polyamines,0.144,Organic oxygen compounds,0.996,Organooxygen compounds,0.992,Ethers,0.956,Dialkyl ethers,0.969,Polyethylene glycols,0.558,Organic compounds; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,333.201,175,2.921,703051714405267200,703045659914725e3,NA,318
2214,333.21100413700265,6.591557,NA,NA,NA,1,C12H30N4O5,[M + Na]+,C12H30N4NaO5+,Fatty acids,0.406,Small peptides,0.323,Fatty alcohols,0.294,Organic oxygen compounds,0.997,Organooxygen compounds,0.965,Alcohols and polyols,0.62,Primary alcohols,0.571,Primary alcohols,0.571,Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,333.211,395,6.587,703061975430702600,703045711106211500,NA,2214
1874,334.0961077248106,5.4019713,NA,NA,NA,3,C17H17N3O2,[M + K]+,C17H17KN3O2+,Alkaloids,0.888,Anthranilic acid alkaloids,0.433,Quinazoline alkaloids,0.096,Benzenoids,0.995,Benzene and substituted derivatives,0.949,Benzoic acids and derivatives,0.795,NA,NA,Benzoic acids and derivatives,0.795,Organic compounds; Organoheterocyclic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,334.096,325,5.412,703060086811016800,703045699982915700,NA,1874
165,334.19744225787576,2.6132576,NA,NA,NA,1,C14H27N3O6,[M + H]+,C14H28N3O6+,Amino acids and Peptides,0.987,Small peptides,0.99,Tripeptides,0.996,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.998,Peptides,0.993,Oligopeptides,0.97,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",334.198,156,2.605,703048472048833900,703045653786846300,NA,165
171,334.222021351409,2.6115513,NA,NA,NA,1,C16H31NO6,[M + H]+,C16H32NO6+,Fatty acids,0.884,Fatty amides,0.542,N-acyl amines,0.522,Organic acids and derivatives,0.938,Carboxylic acids and derivatives,0.925,"Amino acids, peptides, and analogues",0.661,Amino acids and derivatives,0.662,Amino acids and derivatives,0.662,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",334.222,158,2.627,703049253560919700,703045654034310300,NA,171
16,335.1676417582898,2.0161114,NA,NA,NA,4,C15H26O8,[M + H]+,C15H27O8+,Terpenoids,0.355,Fatty acyl glycosides,0.317,Fatty acyl glycosides of mono- and disaccharides,0.44,Organic oxygen compounds,1,Organooxygen compounds,1,Carbohydrates and carbohydrate conjugates,0.934,Monosaccharides,0.917,Hexoses,0.699,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,335.167,120,2.004,703047530175867400,703045647667356300,NA,16
620,335.1707720833853,3.3963103,3,NA,NA,6,C11H28N4O5,[M + K]+,C11H28KN4O5+,Amino acids and Peptides,0.738,Small peptides,0.612,Aminoacids,0.387,Organic acids and derivatives,0.737,Carboxylic acids and derivatives,0.573,"Amino acids, peptides, and analogues",0.521,Amino acids and derivatives,0.519,Alpha amino acids and derivatives,0.528,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",335.171,204,3.403,703054550220414800,703045669389658800,NA,620
1610,335.21933159948577,4.84475,NA,NA,NA,1,C18H32O4,[M + Na]+,C18H32NaO4+,Fatty acids,0.966,Octadecanoids,0.608,Other Octadecanoids,0.487,Lipids and lipid-like molecules,0.897,Fatty Acyls,0.901,Fatty acids and conjugates,0.484,Long-chain fatty acids,0.518,Long-chain fatty acids,0.518,Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,335.22,291,4.847,703058284275239200,703045692080846e3,NA,1610
1677,336.12037964256643,4.99784,56,NA,NA,1,C18H19NO4,[M + Na]+,C18H19NNaO4+,Shikimates and Phenylpropanoids,0.974,Coumarins,0.974,Simple coumarins,0.884,Phenylpropanoids and polyketides,0.797,Coumarins and derivatives,0.921,NA,NA,NA,NA,Coumarins and derivatives,0.921,Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Coumarins and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Quinolines and derivatives; Hydroquinolines; Benzenoids; Amines; 1-benzopyrans; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,336.12,300,5.001,703058612244672100,703045694131860900,NA,1677
2359,336.2506828415888,6.952227,NA,NA,NA,3,C18H35NO3,[M + Na]+,C18H35NNaO3+,Alkaloids,0.473,Ornithine alkaloids,0.419,Tropane alkaloids,0.214,Organic acids and derivatives,0.961,Carboxylic acids and derivatives,0.942,Carboxylic acid derivatives,0.914,Carboxylic acid esters,0.675,Carboxylic acid esters,0.675,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,336.25,417,6.943,703062569893638300,703045715908690200,NA,2359
1860,337.1045011448704,5.4013195,8,NA,NA,1,C15H16N2O7,[M + H]+,C15H17N2O7+,Carbohydrates,0.757,Nucleosides,0.644,Pyrimidine nucleosides,0.541,Benzenoids,0.901,Benzene and substituted derivatives,0.694,NA,NA,NA,NA,Benzene and substituted derivatives,0.694,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Diazines; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,337.105,325,5.412,703060087863787300,703045699529930900,NA,1860
205,337.1514903787737,2.6946719,NA,NA,NA,7,C10H26N4O6,[M + K]+,C10H26KN4O6+,Fatty acids,0.231,Aminosugars and aminoglycosides,0.381,Polyamines,0.316,Organic nitrogen compounds,0.999,Organonitrogen compounds,0.996,Amines,0.89,Alkanolamines,0.702,Alkanolamines,0.702,Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,337.151,162,2.692,703049651789117800,703045655309378800,NA,205
378,337.16963743895417,3.0216727,41,NA,NA,1,C13H26BN3O4,[M + K]+,C13H26BKN3O4+,Amino acids and Peptides,0.438,Small peptides,0.487,Pinane monoterpenoids,0.089,Organic salts,0.992,Organic metal salts,0.991,Organic metalloid salts,0.991,NA,NA,Organic metalloid salts,0.991,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organometallic compounds; Monoalkylamines; Organometalloid compounds; Amines; Primary amines; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,337.169,180,3.005,703052991159809200,703045662070597500,NA,378
1727,337.2096872596607,5.1047673,NA,NA,NA,1,C16H30N2O4,[M + Na]+,C16H30N2NaO4+,Fatty acids,0.997,Fatty amides,0.983,N-acyl amines,0.967,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.986,Amino acids and derivatives,0.985,N-acyl-alpha amino acids,0.968,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",337.209,306,5.106,703059085051797900,703045695394346600,NA,1727
375,337.6992044750807,3.021602,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,338.1750504542567,3.534198,NA,OLOPATADINE HYDROCHLORIDE,[M+H],1,C21H23NO3,[M + H]+,C21H24NO3+,Alkaloids,0.158,Tyrosine alkaloids,0.009,Aminoacids,0.015,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.987,Amino acids and derivatives,0.987,Amino acids,0.953,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzoxepines; Dibenzoxepines; Trialkylamines; Benzenoids; Amines; Tertiary amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",338.175,213,3.543,703055408261818600,703045672363420700,NA,741
2009,338.26627836254374,5.9248395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2783,338.3415061229432,8.391211,NA,"Spectral Match to 13-Docosenamide, (Z)- from NIST14",M+H,1,C22H43NO,[M + H]+,C22H44NO+,Fatty acids,1,Fatty amides,1,Primary amides,1,Lipids and lipid-like molecules,0.954,Fatty Acyls,0.963,Fatty amides,0.949,NA,NA,Fatty amides,0.949,Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,338.342,504,8.402,703064090677037600,703045730601339e3,NA,2783
2444,339.21111512503285,7.2472157,NA,NA,NA,1,C14H30N2O7,[M + H]+,C14H31N2O7+,Amino acids and Peptides,0.492,Ornithine alkaloids,0.407,Mycosporine and Mycosporine-like amino acids,0.337,Organic oxygen compounds,1,Organooxygen compounds,0.993,Alcohols and polyols,0.78,Secondary alcohols,0.67,Secondary alcohols,0.67,Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,339.211,435,7.25,703062910076880300,703045718626599600,NA,2444
2554,339.2868634721384,7.5660534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,340.1599375155179,2.7137408,NA,NA,NA,1,C12H23N5O5,[M + Na]+,C12H23N5NaO5+,Amino acids and Peptides,0.792,Small peptides,0.668,Imidazole alkaloids,0.361,Organoheterocyclic compounds,0.81,Azacyclic compounds,0.773,NA,NA,NA,NA,Azacyclic compounds,0.773,Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,340.16,163,2.723,703050121765078e3,703045655523288300,NA,214
380,340.1779294598357,3.0216846,41,NA,NA,1,C18H21N5O2,[M + H]+,C18H22N5O2+,Amino acids and Peptides,0.846,Small peptides,0.579,Dipeptides,0.123,Organic acids and derivatives,0.882,Carboxylic acids and derivatives,0.817,"Amino acids, peptides, and analogues",0.688,Amino acids and derivatives,0.682,Amino acids and derivatives,0.682,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",340.178,180,3.005,703052680970055800,703045662167066500,NA,380
247,340.1903849637623,2.777519,NA,NA,NA,1,C18H27O6,[M + H]+,C18H28O6+,Terpenoids,0.354,Diterpenoids,0.115,Bisabolane sesquiterpenoids,0.066,Organic oxygen compounds,1,Organooxygen compounds,0.999,Ethers,0.942,Dialkyl ethers,0.932,Dialkyl ethers,0.932,Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,340.19,166,2.77,703050609524889700,703045656886437200,NA,247
416,340.2090333164616,3.0866282,3,NA,NA,3,C16H31NO5,[M + Na]+,C16H31NNaO5+,Amino acids and Peptides,0.425,Ornithine alkaloids,0.19,N-acyl amines,0.098,Organic oxygen compounds,0.999,Organooxygen compounds,0.998,Ethers,0.941,Dialkyl ethers,0.929,Dialkyl ethers,0.929,Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,340.209,185,3.076,703053361210676900,703045663542798300,NA,416
2484,340.32086098734294,7.3021684,NA,NA,NA,1,C21H41NO2,[M + H]+,C21H42NO2+,Fatty acids,1,Fatty amides,0.975,N-acyl ethanolamines (endocannabinoids),0.484,Lipids and lipid-like molecules,0.888,Fatty Acyls,0.899,Fatty amides,0.89,N-acyl amines,0.895,N-acyl amines,0.895,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,340.321,437,7.291,703062963629757400,703045720061051600,NA,2484
2264,340.3934233366102,6.6892076,NA,NA,NA,1,C23H49N,[M + H]+,C23H50N+,Alkaloids,0.889,Nicotinic acid alkaloids,0.264,Pyridine alkaloids,0.266,Organic nitrogen compounds,1,Organonitrogen compounds,1,Aminoxides,0.732,Long-chain alkyl amine oxides,0.925,Long-chain alkyl amine oxides,0.925,Organic compounds; Organonitrogen compounds; Amine oxides and derivatives; Quaternary ammonium salts; Amines; Trisubstituted amine oxides and derivatives; Organic cations; Organic salts; Aminoxides; Hydrocarbon derivatives; Long-chain alkyl amine oxides; Trialkyl amine oxides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,340.393,400,6.664,703062175587090800,703045712469360500,NA,2264
1827,341.130508008427,5.3318443,NA,NA,NA,1,C14H26N2O3S,[M + K]+,C14H26KN2O3S+,Amino acids and Peptides,0.464,Small peptides,0.499,Aminoacids,0.101,Lipids and lipid-like molecules,0.851,Fatty Acyls,0.857,Fatty acids and conjugates,0.881,Thia fatty acids,0.637,Thia fatty acids,0.637,Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,341.131,318,5.303,703059655456189300,703045698405857300,NA,1827
1924,341.1935241623865,5.5385914,NA,NA,NA,1,C16H30O6,[M + Na]+,C16H30NaO6+,Fatty acids,0.645,Macrolides,0.184,Macrolide lactones,0.301,Lipids and lipid-like molecules,0.848,Fatty Acyls,0.836,Fatty acid esters,0.694,NA,NA,Fatty acid esters,0.694,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,341.194,332,5.539,703060384182997500,703045701752912300,NA,1924
177,341.2166013077403,2.6276407,NA,NA,NA,1,C15H32O8,[M + H]+,C15H33O8+,Fatty acids,0.868,Fatty acyls,0.665,Fatty alcohols,0.5,Organic oxygen compounds,1,Organooxygen compounds,1,Ethers,0.995,Dialkyl ethers,0.994,Polyethylene glycols,0.977,Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,341.218,158,2.63,703049260498298800,703045654277579900,NA,177
2254,341.26593526670456,6.669209,NA,NA,NA,3,C19H34N4,[M + Na]+,C19H34N4Na+,Alkaloids,0.97,Nicotinic acid alkaloids,0.487,Pyridine alkaloids,0.492,Organoheterocyclic compounds,0.956,Heteroaromatic compounds,0.902,NA,NA,NA,NA,Heteroaromatic compounds,0.902,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,341.266,401,6.681,703062182088262400,703045712226090800,NA,2254
2007,341.3520228388672,5.916035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,341.71455752231134,2.9121332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1672,342.1171454103362,4.99784,56,NA,NA,1,C13H21NO8,[M + Na]+,C13H21NNaO8+,Amino acids and Peptides,0.655,Amino acid glycosides,0.89,Cyanogenic glycosides,0.892,Organic oxygen compounds,0.999,Organooxygen compounds,0.99,Carbohydrates and carbohydrate conjugates,0.669,Glycosyl compounds,0.604,O-glycosyl compounds,0.502,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,342.118,299,4.987,703058541402873200,703045693955700100,NA,1672
1360,342.2243154453377,3.9626248,NA,NA,NA,2,C16H33NO5,[M + Na]+,C16H33NNaO5+,Fatty acids,0.918,Fatty amides,0.196,Sphingoid bases,0.141,Lipids and lipid-like molecules,0.878,Fatty Acyls,0.892,Fatty acids and conjugates,0.571,NA,NA,Fatty acids and conjugates,0.571,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,342.224,238,3.965,703057078064651300,703045684124250200,NA,1360
2295,342.24221299549606,6.764167,NA,NA,NA,1,C20H33NO2,[M + Na]+,C20H33NNaO2+,Fatty acids,0.721,Fatty amides,0.387,N-acyl ethanolamines (endocannabinoids),0.358,Lipids and lipid-like molecules,0.584,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.584,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,342.243,406,6.763,703062310870183400,703045713593434100,NA,2295
645,342.5186833100654,3.4377646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055,343.1539738483504,6.0756817,NA,NA,NA,1,C20H22O5,[M + H]+,C20H23O5+,Shikimates and Phenylpropanoids,1,Diarylheptanoids,0.974,Linear diarylheptanoids,0.773,Phenylpropanoids and polyketides,0.767,Diarylheptanoids,0.858,Linear diarylheptanoids,0.759,NA,NA,Linear diarylheptanoids,0.759,Organic compounds; Ketones; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Diarylheptanoids; Linear diarylheptanoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities,343.154,364,6.069,703061282372257400,703045706014325600,NA,2055
